,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,Amapá,1.0,-52.0,72.88,97,100,3.6,BR,1612830420
294,Abonnema,4.7084,6.7931,80.82,81,18,6.62,NG,1612830421
295,Lagos,6.5833,3.75,80.15,86,42,4.29,NG,1612830398
296,Ushtobe,45.2514,77.9838,28.31,98,100,9.84,KZ,1612830251
297,Nalbari,26.4456,91.4354,51.8,82,20,5.64,IN,1612830425
298,Huanuni,-18.2667,-66.85,45.03,81,99,9.15,BO,1612830426
299,Suntar,62.1444,117.6319,-10.61,90,87,4.34,RU,1612830428
300,Port Keats,-14.25,129.55,76.33,88,100,5.55,AU,1612830431
301,Selfoss,63.9331,-20.9971,32.0,65,67,7.0,IS,1612830433
302,Kochi,9.9399,76.2602,66.2,88,37,2.3,IN,1612830434
303,Lotoshino,56.2267,35.6414,-2.11,92,78,3.4,RU,1612830435
304,Plettenberg Bay,-34.0527,23.3716,65.35,77,0,3.0,ZA,1612830339
305,Camacha,33.0833,-16.3333,59.0,88,40,6.91,PT,1612830438
306,Khani,41.9563,42.9566,53.6,66,0,8.05,GE,1612830439
307,Lompoc,34.6391,-120.4579,55.99,76,1,11.5,US,1612830377
308,Keflavik,64.0049,-22.5624,32.0,80,0,9.22,IS,1612830441
309,Yaan,7.3833,8.5667,79.59,19,94,4.36,NG,1612830444
310,Narsaq,60.9167,-46.05,39.2,28,75,37.98,GL,1612829909
311,Grand Gaube,-20.0064,57.6608,75.0,84,3,1.99,MU,1612830447
312,Fairbanks,64.8378,-147.7164,-5.8,49,1,14.97,US,1612830448
313,Erciş,39.0287,43.3586,28.4,86,40,3.44,TR,1612830449
314,Ust'-Koksa,50.2696,85.6108,32.02,95,100,7.52,RU,1612830451
315,Umm Kaddadah,13.6017,26.6876,62.46,30,55,14.38,SD,1612830452
316,Southbridge,42.0751,-72.0334,17.01,43,19,2.57,US,1612830273
317,Rocha,-34.4833,-54.3333,64.18,91,98,11.86,UY,1612830454
318,Swanton,41.5887,-83.8911,17.01,73,90,3.44,US,1612830455
319,Victor Harbor,-35.5667,138.6167,71.01,79,14,10.49,AU,1612830457
320,Maniitsoq,65.4167,-52.9,24.28,82,0,10.71,GL,1612830458
321,Sobolevo,54.4299,31.8996,7.92,91,100,12.95,RU,1612829869
322,Makat,47.6469,53.3463,17.51,77,98,8.63,KZ,1612830460
323,Khovd,48.0056,91.6419,12.36,88,42,1.7,MN,1612830417
324,Bambanglipuro,-7.95,110.2833,77.02,87,100,5.37,ID,1612830290
325,Nago,26.5881,127.9761,60.8,67,1,10.36,JP,1612830463
326,Nānākuli,21.3906,-158.1547,80.6,47,1,16.11,US,1612830054
327,Rameswaram,9.2833,79.3,77.52,72,1,19.66,IN,1612830466
328,Stornoway,58.2093,-6.3865,33.8,60,15,10.36,GB,1612830467
329,Pochutla,15.7432,-96.4661,84.2,61,20,11.5,MX,1612830000
330,Kidal,18.4411,1.4078,69.39,22,90,6.33,ML,1612830370
331,Prince Rupert,54.3161,-130.3201,30.2,59,90,3.44,CA,1612830275
332,Sibu,2.3,111.8167,77.0,100,20,1.07,MY,1612830471
333,Sørland,67.667,12.6934,35.38,81,100,11.7,NO,1612829929
334,Natal,-5.795,-35.2094,80.6,78,40,10.36,BR,1612830449
335,Shitanjing,39.2342,106.3439,25.27,76,11,1.32,CN,1612830475
336,Wencheng,33.0559,113.7978,36.88,78,100,1.68,CN,1612830477
337,Néa Alikarnassós,35.3333,25.1667,55.4,82,20,10.36,GR,1612830372
338,Kyren,51.6828,102.1408,20.19,83,85,4.07,RU,1612830479
339,Correntina,-13.3433,-44.6367,68.99,85,91,1.32,BR,1612830481
340,Chicama,-7.8447,-79.1469,69.8,88,94,14.97,PE,1612830189
341,Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.2,68,40,8.95,RU,1612830484
342,Bonavista,48.6499,-53.1147,32.0,100,100,11.5,CA,1612830022
343,Ixtapa,20.7,-105.2,73.99,73,1,11.5,MX,1612830486
344,Paamiut,61.994,-49.6678,29.61,85,81,7.47,GL,1612830168
345,Erdenet,49.0333,104.0833,7.77,83,0,3.87,MN,1612830489
346,Aksu,41.1231,80.2644,30.88,77,100,1.45,CN,1612830490
347,Mount Gambier,-37.8333,140.7667,66.2,52,0,16.11,AU,1612830475
348,Arrondissement de Bastia,42.6667,9.3333,52.0,87,90,3.44,FR,1612830492
349,Batamshinskiy,50.5594,58.2747,-11.2,64,98,20.13,KZ,1612830493
350,Zhalantun,48.0,122.7167,3.22,88,73,3.24,CN,1612830324
351,Mashhad,36.297,59.6062,39.2,100,32,2.55,IR,1612830496
352,Port Blair,11.6667,92.75,74.53,78,98,11.56,IN,1612830497
353,Boca do Acre,-8.7522,-67.3978,75.34,93,80,1.83,BR,1612830498
354,Oyama,36.3,139.8,42.01,38,20,9.22,JP,1612830456
355,Bhatkal,13.9667,74.5667,74.37,44,20,6.55,IN,1612830500
356,Pinili,17.9517,120.5278,80.6,65,20,8.05,PH,1612830502
357,Hambantota,6.1241,81.1185,75.2,94,1,10.36,LK,1612830333
358,Mildura,-34.2,142.15,75.0,43,0,5.75,AU,1612830504
359,Deputatsky,69.3,139.9,-20.22,87,3,3.96,RU,1612829962
360,Bač,45.3919,19.2367,39.0,100,75,3.44,RS,1612830506
361,Mehamn,71.0357,27.8492,21.94,90,100,18.84,NO,1612830411
362,Kyabé,9.4515,18.9449,67.71,23,17,4.12,TD,1612830510
363,Taoudenni,22.6783,-3.9836,62.74,27,0,9.42,ML,1612830511
364,Ndélé,8.4109,20.6473,65.12,26,82,6.35,CF,1612830512
365,Masvingo,-20.0637,30.8277,65.1,87,40,4.65,ZW,1612830513
366,Muyezerskiy,63.9333,31.65,0.16,93,75,6.53,RU,1612830515
367,Windhoek,-22.5594,17.0832,69.01,82,53,1.14,NA,1612830278
368,Dingle,10.9995,122.6711,75.87,92,96,10.2,PH,1612830517
369,Karachi,24.9056,67.0822,55.4,71,99,8.55,PK,1612830518
370,Salisbury,51.0693,-1.7957,30.2,74,75,11.5,GB,1612830519
371,Pontianak,-0.0333,109.3333,75.2,94,20,5.75,ID,1612830414
372,Inhambane,-23.865,35.3833,76.77,85,3,11.03,MZ,1612830522
373,Bykovo,55.6361,38.0803,-2.2,84,75,2.24,RU,1612830523
374,Fort Nelson,58.8053,-122.7002,-16.6,63,75,9.22,CA,1612830524
375,Cabañas,22.9758,-82.9219,78.8,78,40,10.36,CU,1612830525
376,Ürümqi,43.801,87.6005,12.2,92,69,2.24,CN,1612830527
377,Lodja,-3.4833,23.4333,73.04,65,100,0.69,CD,1612830530
378,San Quintín,30.4833,-115.95,60.48,71,0,5.75,MX,1612830378
379,Noumea,-22.2763,166.4572,86.0,66,0,8.05,NC,1612830245
380,Rüsselsheim am Main,49.9925,8.435,26.01,79,75,10.36,DE,1612830533
381,Broken Hill,-31.95,141.4333,80.6,22,0,11.5,AU,1612830417
382,Sturgeon Falls,46.3646,-79.9326,14.0,85,90,8.05,CA,1612830536
383,Dharmābād,18.9,77.85,56.17,37,12,1.88,IN,1612830537
384,Ketchikan,55.3422,-131.6461,24.8,86,90,3.44,US,1612830152
385,Korla,41.7597,86.1469,30.6,81,61,3.76,CN,1612830539
386,Imeni Babushkina,59.7573,43.1285,-8.3,91,93,4.32,RU,1612830540
387,Challans,46.8436,-1.8749,33.8,93,90,4.61,FR,1612830269
388,Gayny,60.3071,54.3241,-19.77,86,100,8.61,RU,1612830543
389,Sambava,-14.2667,50.1667,75.61,88,95,4.61,MG,1612830544
390,Sibolga,1.7427,98.7792,76.03,77,25,3.98,ID,1612830545
391,Ilulissat,69.2167,-51.1,24.8,36,0,25.32,GL,1612830547
392,Mount Isa,-20.7333,139.5,80.6,94,40,9.22,AU,1612830361
393,Banjar,-8.19,114.9675,78.8,94,20,4.61,ID,1612830550
394,Ha Tinh,18.3333,105.9,64.9,94,100,4.21,VN,1612830551
395,Burlington,39.8835,-74.6413,27.0,79,1,1.16,US,1612830290
396,Pitkyaranta,61.5734,31.4792,5.65,94,8,5.93,RU,1612830555
397,Teahupoo,-17.8333,-149.2667,89.6,58,40,5.75,PF,1612830556
398,Lengshuijiang,27.6881,111.4294,47.03,83,100,1.14,CN,1612830557
399,Mareeba,-17.0,145.4333,80.6,89,40,1.52,AU,1612830558
400,Alamogordo,32.8995,-105.9603,69.8,12,1,9.22,US,1612830559
401,Semey,50.4111,80.2275,5.0,72,0,13.42,KZ,1612830450
402,Punjai Puliyampatti,11.35,77.2,68.0,83,20,4.61,IN,1612830562
403,Mandera,3.9366,41.867,77.97,57,35,14.25,KE,1612830563
404,Qorveh,35.1664,47.8045,39.0,69,20,5.41,IR,1612830564
405,Orán,-23.1322,-64.326,80.35,46,96,2.21,AR,1612830565
406,Sechura,-5.5569,-80.8222,79.84,59,48,14.54,PE,1612830566
407,Pangai,-19.8,-174.35,78.8,100,90,14.97,TO,1612830568
408,Enshi,30.3,109.4833,46.29,84,100,0.63,CN,1612830569
409,Deer Lake,49.1667,-57.4316,32.0,93,90,10.36,CA,1612830570
410,Aykhal,66.0,111.5,-19.89,85,97,6.8,RU,1612830571
411,Keningau,5.3378,116.1602,77.0,88,20,3.44,MY,1612830573
412,Henties Bay,-22.116,14.2845,64.99,85,64,3.0,NA,1612830574
413,Zhanakorgan,43.9098,67.2495,28.15,87,100,4.05,KZ,1612830575
414,Chifeng,42.2683,118.9636,13.05,85,0,6.58,CN,1612830400
415,Shimoda,34.6667,138.95,42.8,45,75,5.75,JP,1612830578
416,Poum,-20.2333,164.0167,81.23,72,32,9.98,NC,1612830077
417,La Ronge,55.1001,-105.2842,-18.4,63,100,13.8,CA,1612830581
418,Kloulklubed,7.0419,134.2556,80.6,78,90,9.22,PW,1612830582
419,Kalmunai,7.4167,81.8167,75.42,80,93,12.44,LK,1612830343
420,Hasaki,35.7333,140.8333,37.4,32,20,13.8,JP,1612830112
421,Mawlamyine,16.4914,97.6256,69.82,79,76,4.32,MM,1612830585
422,Yulara,-25.2406,130.9889,93.2,18,60,20.71,AU,1612830236
423,Sinfra,6.6167,-5.9167,75.2,83,75,4.61,CI,1612830588
424,Phalodi,27.1333,72.3667,61.18,29,42,4.32,IN,1612830589
425,Sinnamary,5.3833,-52.95,77.72,79,52,14.32,GF,1612830391
426,Waddān,29.1614,16.139,56.39,35,0,2.59,LY,1612830457
427,Avera,33.194,-82.5271,57.2,77,90,4.61,US,1612830594
428,Griffith,41.5284,-87.4237,14.0,85,90,3.22,US,1612830529
429,Gilgit,35.9221,74.3087,38.16,53,9,2.75,PK,1612830596
430,Swan River,52.1058,-101.2676,-16.6,63,99,18.41,CA,1612830598
431,Eureka,40.8021,-124.1637,50.0,79,100,1.99,US,1612830384
432,Mikhaylovka,50.06,43.2379,7.0,74,94,4.0,RU,1612830601
433,Ostrovnoy,68.0531,39.5131,4.33,91,96,19.24,RU,1612830300
434,Gewanē,10.1664,40.6453,68.7,65,100,7.56,ET,1612830605
435,Morón,-34.6534,-58.6198,69.01,82,40,9.22,AR,1612830266
436,Muisne,0.6,-80.0333,77.09,87,99,0.2,EC,1612830608
437,Yar-Sale,66.8333,70.8333,-15.83,88,40,7.9,RU,1612830056
438,Tuy Hoa,13.0833,109.3,72.55,88,88,4.43,VN,1612830371
439,Ayan,56.45,138.1667,-4.47,79,100,15.3,RU,1612830095
440,Cabra,37.4725,-4.4421,51.01,82,100,1.01,ES,1612830613
441,Irbit,57.6705,63.071,-13.09,87,100,8.16,RU,1612830614
442,Severo-Yeniseyskiy,60.3725,93.0408,24.53,97,70,8.9,RU,1612830615
443,Vostok,46.4856,135.8833,-5.87,89,100,5.3,RU,1612830616
444,Nirgua,10.1553,-68.5663,78.8,69,20,4.16,VE,1612830618
445,Kyaikto,17.3,97.0167,67.98,74,97,3.89,MM,1612830619
446,North Bend,43.4065,-124.2243,48.99,57,1,9.22,US,1612830331
447,Puerto Madero,14.7208,-92.4215,84.2,61,1,5.75,MX,1612830621
448,San Jerónimo,-11.9472,-75.2829,54.27,69,100,3.71,PE,1612830623
449,Masallātah,32.6167,14.0,57.76,38,0,10.78,LY,1612830624
450,Geraldton,-28.7667,114.6,69.8,78,40,6.91,AU,1612830201
451,Beloha,-25.1667,45.05,73.09,86,100,7.38,MG,1612830627
452,Thinadhoo,0.5333,72.9333,82.06,80,91,13.38,MV,1612830041
453,Lima,-12.0432,-77.0282,78.01,78,0,13.8,PE,1612830543
454,Goderich,43.7501,-81.7165,14.0,73,100,8.05,CA,1612830187
455,Simao,22.7886,100.9748,45.05,93,84,1.63,CN,1612830299
456,Faanui,-16.4833,-151.75,81.81,75,0,13.02,PF,1612830634
457,Pacific Grove,36.6177,-121.9166,54.0,82,90,4.61,US,1612830620
458,Tambongon,10.9677,123.9244,78.22,87,100,13.56,PH,1612830637
459,Uray,60.1247,64.7758,-14.17,89,100,8.08,RU,1612830638
460,Āstāneh-ye Ashrafīyeh,37.2596,49.9444,49.39,83,47,3.98,IR,1612830639
461,Coyhaique,-45.5752,-72.0662,84.2,30,0,4.61,CL,1612830429
462,Quelimane,-17.8786,36.8883,80.6,74,0,3.4,MZ,1612830389
463,Hamilton,39.1834,-84.5333,32.0,51,90,9.22,US,1612830643
464,Saint-Pierre,-21.3393,55.4781,77.0,61,0,6.91,RE,1612830298
465,Pingliang,35.5392,106.6861,36.86,74,0,0.65,CN,1612830645
466,San Patricio,28.017,-97.5169,71.6,83,90,12.66,US,1612830646
467,Kieta,-6.2167,155.6333,85.98,73,99,9.8,PG,1612830648
468,Andilamena,-17.0167,48.5833,65.14,97,69,2.71,MG,1612830649
469,Kenai,60.5544,-151.2583,14.0,85,1,7.14,US,1612830651
470,Yelizovo,53.1873,158.3805,21.2,68,40,8.95,RU,1612830653
471,Tura,25.5198,90.2201,54.77,51,0,2.26,IN,1612830209
472,Kingaroy,-26.5333,151.8333,78.8,47,75,11.5,AU,1612830484
473,Linjiang,41.8069,126.9078,13.21,83,8,2.42,CN,1612830657
474,Muros,42.7762,-9.0603,53.01,86,100,21.99,ES,1612830658
475,San Carlos,9.6612,-68.5827,81.25,59,88,3.89,VE,1612830659
476,Chimbote,-9.0853,-78.5783,71.8,75,86,7.65,PE,1612830364
477,Mogadishu,2.0371,45.3438,76.68,84,85,18.84,SO,1612830170
478,Laguna,38.421,-121.4238,64.0,59,1,5.75,US,1612830140
479,Ponta do Sol,32.6667,-17.1,57.99,74,23,4.0,PT,1612830364
480,Hīt,33.6416,42.8251,57.63,59,100,1.23,IQ,1612830665
481,Naze,28.3667,129.4833,57.2,62,75,14.97,JP,1612830169
482,Lamas,-6.4167,-76.5333,84.2,65,20,3.44,PE,1612830667
483,Emba,48.8264,58.1442,-4.68,91,86,10.67,KZ,1612830387
484,Tazmalt,36.3868,4.3989,49.42,74,0,8.84,DZ,1612830670
485,Ust'-Barguzin,53.45,108.9833,10.51,91,0,3.91,RU,1612830671
486,Kalasin,16.5,103.5,68.0,94,75,5.75,TH,1612830672
487,Linqiong,30.4159,103.4609,44.6,100,100,1.68,CN,1612830673
488,Sabang,5.8933,95.3214,81.5,78,34,15.48,ID,1612830674
489,Williams Lake,52.1415,-122.1445,-4.0,71,20,9.22,CA,1612830676
490,Zhuhai,22.2769,113.5678,69.01,77,40,12.66,CN,1612830678
491,Kaura Namoda,12.5898,6.5779,67.32,22,0,8.32,NG,1612830679
492,Puerto Escondido,15.85,-97.0667,82.4,74,1,4.61,MX,1612830682
493,Bethanien,-26.502,17.1583,75.09,27,0,6.78,NA,1612830683
494,Tilichiki,60.4667,166.1,15.91,97,30,9.89,RU,1612830684
495,Saldanha,-33.0117,17.9442,64.4,82,0,10.36,ZA,1612830380
496,Haines Junction,60.7522,-137.5108,-7.6,59,87,3.44,CA,1612830687
497,Freeport,40.6576,-73.5832,26.01,58,1,4.76,US,1612830509
498,Martapura,-3.4167,114.85,78.8,94,40,6.91,ID,1612830689
499,Touros,-5.1989,-35.4608,80.6,78,40,11.5,BR,1612830439
500,Māngrol,21.1167,70.1167,66.9,40,89,10.02,IN,1612830692
501,Pangkalanbuun,-2.6833,111.6167,80.71,85,94,2.64,ID,1612830693
502,Watsa,3.0372,29.5355,63.21,38,100,2.04,CD,1612830694
503,Corowa,-36.0333,146.3833,78.01,41,0,6.91,AU,1612830695
504,Vanavara,60.34,102.2797,20.52,96,100,13.47,RU,1612830696
505,Shaoguan,24.8,113.5833,57.18,81,100,2.73,CN,1612830698
506,Ahipara,-35.1667,173.1667,73.8,63,99,11.86,NZ,1612830699
507,Thurso,58.5927,-3.5259,28.4,80,40,1.14,GB,1612830700
508,Três Lagoas,-20.7511,-51.6783,70.38,73,0,5.79,BR,1612830701
509,Intipucá,13.1969,-88.0544,77.38,67,0,4.79,SV,1612830702
510,Bingöl,38.8847,40.4939,38.46,77,100,6.2,TR,1612830704
511,Bandundu Province,-3.3167,17.3667,74.35,83,80,4.18,CD,1612830705
512,Biak,-0.9131,122.8766,82.15,67,94,0.96,ID,1612830706
513,Lydenburg,-25.0978,30.4597,73.99,92,95,2.86,ZA,1612830707
514,Mahébourg,-20.4081,57.7,77.0,88,40,5.75,MU,1612830711
515,Kodinsk,58.6881,99.1844,27.93,94,100,10.22,RU,1612830712
516,Vangaindrano,-23.35,47.6,76.89,91,100,4.65,MG,1612830713
517,Domodossola,46.1165,8.2931,37.99,73,39,3.71,IT,1612830714
518,Padang,-0.9492,100.3543,75.2,88,40,3.44,ID,1612830624
519,Kysyl-Syr,63.8986,122.7617,-25.51,83,4,3.4,RU,1612830717
520,Rawson,-43.3002,-65.1023,63.55,59,0,22.66,AR,1612830048
521,Whyalla,-33.0333,137.5833,82.4,24,0,3.44,AU,1612830720
522,Iranshahr,27.2025,60.6848,53.6,37,0,4.61,IR,1612830721
523,La Palma,33.8464,-118.0467,61.0,62,20,9.22,US,1612830722
524,Piet Retief,-27.0071,30.8132,63.64,98,100,2.17,ZA,1612830724
525,St. George's,12.0564,-61.7485,78.8,73,20,19.57,GD,1612830158
526,Muhos,64.808,25.9931,-4.0,84,90,3.44,FI,1612830726
527,Sadao,6.6388,100.4234,73.4,100,20,2.55,TH,1612830727
528,Icod de los Vinos,28.3724,-16.7119,61.0,75,7,4.0,ES,1612830728
529,Kalakamati,-20.5929,27.3121,66.52,84,100,10.98,BW,1612830729
530,Arlit,18.7369,7.3853,70.32,18,100,9.44,NE,1612830659
531,Bharatpur,27.2167,77.4833,54.64,55,0,3.31,IN,1612830732
532,Ishigaki,24.3448,124.1572,66.2,68,75,19.57,JP,1612830228
533,Nuuk,64.1835,-51.7216,30.2,43,0,6.91,GL,1612830734
534,Lüderitz,-26.6481,15.1594,69.8,58,0,19.93,NA,1612830735
535,Mahibadhoo,3.7833,72.9667,81.91,73,29,19.57,MV,1612830737
536,Yumen,40.2833,97.2,25.3,76,26,5.68,CN,1612830256
537,Miyako,39.6367,141.9525,29.77,81,2,14.38,JP,1612830739
538,Russell,32.3502,-85.1999,55.4,66,20,4.76,US,1612830740
539,Talara,-4.5772,-81.2719,80.6,61,0,18.41,PE,1612830628
540,Maragogi,-9.0122,-35.2225,78.03,79,0,9.62,BR,1612830742
541,Timrå,62.487,17.3257,14.0,85,0,10.36,SE,1612830744
542,Kodīnar,20.7903,70.7031,68.13,31,4,7.76,IN,1612830745
543,Vigrestad,58.5667,5.7,24.01,50,0,4.61,NO,1612830746
544,Isil'kul',54.9109,71.2728,-5.69,90,100,13.44,RU,1612830747
545,Lakatoro,-16.0999,167.4164,84.83,57,4,4.94,VU,1612830748
546,Egvekinot,66.3167,-179.1667,-6.97,84,98,9.33,RU,1612830750
547,Nampula,-15.1165,39.2666,75.2,94,75,4.61,MZ,1612830751
548,Bogotol,56.2078,89.5342,14.16,91,100,20.29,RU,1612830752
549,Yerbogachën,61.2767,108.0108,4.23,94,92,4.09,RU,1612830753
550,Imbituba,-28.24,-48.6703,73.4,78,0,6.91,BR,1612830754
551,San Luis,-33.295,-66.3356,63.9,79,100,2.91,AR,1612830755
552,Port Augusta,-32.5,137.7667,84.0,24,0,3.44,AU,1612830757
553,Templin,53.1186,13.5022,16.0,72,99,7.58,DE,1612830758
554,Novobirilyussy,56.9514,90.6661,18.66,90,80,17.4,RU,1612830759
555,Bhāndāria,22.4861,90.0609,59.02,45,0,5.03,BD,1612830760
556,Makhachkala,42.9764,47.5024,39.2,93,90,4.47,RU,1612830431
557,Alta Floresta,-9.8756,-56.0861,80.6,89,40,3.44,BR,1612830763
558,Petrovsk-Zabaykal'skiy,51.273,108.843,2.26,91,33,2.84,RU,1612830674
559,Jardim,-21.4803,-56.1381,72.3,74,0,5.77,BR,1612830765
560,Sayyan,15.1718,44.3244,47.34,80,100,8.48,YE,1612830766
561,Kirakira,-10.4544,161.9205,85.55,72,78,9.24,SB,1612830767
562,Tiznit Province,29.5833,-9.5,52.65,84,84,3.53,MA,1612830768
563,Batangafo,7.3008,18.2833,64.38,25,100,3.71,CF,1612830725
564,Hofn,64.2539,-15.2082,31.46,91,100,15.57,IS,1612830771
565,Porto-Novo,6.4965,2.6036,84.2,79,20,13.8,BJ,1612830484
566,La Plata,-34.9215,-57.9545,66.99,87,0,4.0,AR,1612830773
567,Mnogovershinnyy,53.9353,139.9242,-0.76,92,100,6.73,RU,1612830775
568,Dwārka,22.2394,68.9678,68.97,57,38,12.12,IN,1612830280
569,General Roca,-39.0333,-67.5833,69.8,52,0,5.75,AR,1612830778
570,Aberdeen,57.1437,-2.0981,32.0,59,20,5.75,GB,1612830592
571,Trani,41.2727,16.4154,54.0,66,75,6.91,IT,1612830562
572,Bone,51.9669,12.1396,12.0,91,91,4.88,DE,1612830781
573,Farafangana,-22.8167,47.8333,78.12,89,100,7.09,MG,1612830783
574,Aguada de Pasajeros,22.385,-80.8508,77.0,65,0,5.75,CU,1612830784
575,Shebalino,51.2917,85.6772,24.48,93,100,5.88,RU,1612830785
576,Ada,43.4166,-116.1262,39.99,38,1,11.5,US,1612830574
577,Veisiejai,54.1,23.7,15.3,96,100,13.38,LT,1612830787
578,Pangody,65.85,74.4859,-9.9,91,100,6.98,RU,1612830789
579,Peniche,39.3558,-9.3811,57.0,87,100,21.99,PT,1612830790
580,Cairns,-16.9167,145.7667,80.6,89,40,3.74,AU,1612830702
581,Mawlaik,23.6333,94.4167,57.18,63,0,1.01,MM,1612830792
582,Sungai Penuh,-2.0833,101.3833,69.91,78,100,2.21,ID,1612830793
583,Koslan,63.4564,48.8989,-23.62,84,98,8.46,RU,1612830795
584,Marawi,7.9986,124.2928,80.01,81,100,5.01,PH,1612830796
585,Tautira,-17.7333,-149.15,84.2,65,75,8.05,PF,1612830797
586,Värnamo,57.186,14.04,19.99,90,99,5.01,SE,1612830798
587,Anloga,5.7947,0.8973,82.4,83,20,8.05,GH,1612830224
